mouse,gender,genotype,age,endpoint,measure,tissue
JY1,F,+/+,12,Sqstm1,0.831089,striatum
JY2,F,+/+,12,Sqstm1,1.772281,striatum
JY3,F,+/+,12,Sqstm1,0.643796,striatum
JY4,F,+/+,12,Sqstm1,0.920001,striatum
JZ1,F,Q111/+,12,Sqstm1,1.260654,striatum
JZ2,F,Q111/+,12,Sqstm1,0.842859,striatum
JZ3,F,Q111/+,12,Sqstm1,0.944392,striatum
JZ4,F,Q111/+,12,Sqstm1,0.790674,striatum
JW1,M,+/+,12,Drd1a,0.956883759,striatum
JW2,M,+/+,12,Drd1a,1.235887679,striatum
JW3,M,+/+,12,Drd1a,1.271479789,striatum
JW4,M,+/+,12,Drd1a,0.956043749,striatum
JY1,F,+/+,12,Drd1a,0.652732196,striatum
JY2,F,+/+,12,Drd1a,1.224769643,striatum
JY3,F,+/+,12,Drd1a,0.900285191,striatum
JY4,F,+/+,12,Drd1a,0.802635647,striatum
JY5,F,+/+,12,Drd1a,1.594960745,striatum
HW5,F,+/+,3,Drd1a,0.811408901,striatum
FW5,F,+/+,9,Drd1a,1.370098177,striatum
HW1,F,+/+,3,Drd1a,1.570181104,striatum
HW2,F,+/+,3,Drd1a,2.084982731,striatum
HW3,F,+/+,3,Drd1a,1.798996296,striatum
HW4,F,+/+,3,Drd1a,2.368428881,striatum
HV1,M,+/+,3,Drd1a,1.044994098,striatum
HV2,M,+/+,3,Drd1a,0.885498618,striatum
HV3,M,+/+,3,Drd1a,0.671962077,striatum
HV4,M,+/+,3,Drd1a,0.626306581,striatum
FW1,F,+/+,9,Drd1a,1.64452933,striatum
FW2,F,+/+,9,Drd1a,1.387071762,striatum
FW3,F,+/+,9,Drd1a,1.3904775,striatum
FW4,F,+/+,9,Drd1a,1.414883419,striatum
MW1,M,+/+,9,Drd1a,1.472088751,striatum
MW2,M,+/+,9,Drd1a,1.44777177,striatum
MW3,M,+/+,9,Drd1a,0.848514359,striatum
MW4,M,+/+,9,Drd1a,1.717633926,striatum
JX1,M,Q111/+,12,Drd1a,0.326691376,striatum
JX2,M,Q111/+,12,Drd1a,0.838335206,striatum
JX3,M,Q111/+,12,Drd1a,0.624431667,striatum
JX4,M,Q111/+,12,Drd1a,0.655376484,striatum
JX5,M,Q111/+,12,Drd1a,0.806150236,striatum
JZ1,F,Q111/+,12,Drd1a,0.4697017,striatum
JZ2,F,Q111/+,12,Drd1a,0.246190659,striatum
JZ3,F,Q111/+,12,Drd1a,0.551159659,striatum
JZ4,F,Q111/+,12,Drd1a,0.537937052,striatum
HX5,M,Q111/+,3,Drd1a,0.613084362,striatum
MH5,M,Q111/+,9,Drd1a,0.481480829,striatum
HZ1,F,Q111/+,3,Drd1a,1.13170806,striatum
HZ2,F,Q111/+,3,Drd1a,0.801701743,striatum
HZ3,F,Q111/+,3,Drd1a,1.334079823,striatum
HZ4,F,Q111/+,3,Drd1a,1.384266798,striatum
HX1,M,Q111/+,3,Drd1a,0.981325431,striatum
HX2,M,Q111/+,3,Drd1a,0.778005743,striatum
HX3,M,Q111/+,3,Drd1a,0.728404672,striatum
HX4,M,Q111/+,3,Drd1a,1.172866278,striatum
FH1,F,Q111/+,9,Drd1a,0.578365589,striatum
FH2,F,Q111/+,9,Drd1a,0.596464386,striatum
FH3,F,Q111/+,9,Drd1a,0.889274493,striatum
FH4,F,Q111/+,9,Drd1a,0.758728392,striatum
MH1,M,Q111/+,9,Drd1a,0.901918735,striatum
MH2,M,Q111/+,9,Drd1a,0.735281316,striatum
MH3,M,Q111/+,9,Drd1a,0.676740893,striatum
MH4,M,Q111/+,9,Drd1a,1.199153109,striatum
HW5,F,+/+,3,Drd2,0.881571,striatum
HX5,M,Q111/+,3,Drd2,0.8217,striatum
FW5,F,+/+,9,Drd2,1.17296,striatum
MH5,M,Q111/+,9,Drd2,0.249367,striatum
HZ1,F,Q111/+,3,Drd2,1.068807,striatum
HZ2,F,Q111/+,3,Drd2,1.249289,striatum
HZ3,F,Q111/+,3,Drd2,1.293297,striatum
HZ4,F,Q111/+,3,Drd2,1.459566,striatum
HW1,F,+/+,3,Drd2,1.462737,striatum
HW2,F,+/+,3,Drd2,1.8571,striatum
HW3,F,+/+,3,Drd2,1.735308,striatum
HW4,F,+/+,3,Drd2,1.938561,striatum
HX1,M,Q111/+,3,Drd2,0.894442,striatum
HX2,M,Q111/+,3,Drd2,1.026123,striatum
HX3,M,Q111/+,3,Drd2,0.778357,striatum
HX4,M,Q111/+,3,Drd2,1.237068,striatum
HV1,M,+/+,3,Drd2,1.071284,striatum
HV2,M,+/+,3,Drd2,0.876683,striatum
HV3,M,+/+,3,Drd2,0.820853,striatum
HV4,M,+/+,3,Drd2,0.719484,striatum
FH1,F,Q111/+,9,Drd2,0.622836,striatum
FH2,F,Q111/+,9,Drd2,0.703161,striatum
FH3,F,Q111/+,9,Drd2,1.137647,striatum
FH4,F,Q111/+,9,Drd2,0.814756,striatum
FW1,F,+/+,9,Drd2,1.348599,striatum
FW2,F,+/+,9,Drd2,1.311102,striatum
FW3,F,+/+,9,Drd2,1.306415,striatum
FW4,F,+/+,9,Drd2,1.485367,striatum
MH1,M,Q111/+,9,Drd2,1.020639,striatum
MH2,M,Q111/+,9,Drd2,0.812245,striatum
MH3,M,Q111/+,9,Drd2,0.745648,striatum
MH4,M,Q111/+,9,Drd2,1.138808,striatum
MW1,M,+/+,9,Drd2,1.680247,striatum
MW2,M,+/+,9,Drd2,1.324888,striatum
MW3,M,+/+,9,Drd2,0.431724,striatum
MW4,M,+/+,9,Drd2,1.834795,striatum
JY5,F,+/+,12,Drd2,1.618347,striatum
JX5,M,Q111/+,12,Drd2,0.490789,striatum
JW1,M,+/+,12,Drd2,0.858429,striatum
JW2,M,+/+,12,Drd2,0.88346,striatum
JW3,M,+/+,12,Drd2,0.915268,striatum
JW4,M,+/+,12,Drd2,1.097804,striatum
JX1,M,Q111/+,12,Drd2,0.600514,striatum
